Instance,N Jobs,N Machines,N Tasks,N Individuals,N Iterations,Mutation Prob.,Xover Prob.,Threshold,Mode,Factor,Xover type,Mutation type,Iteration,Tardiness,Energy,N Generations,Execution Time
19,2,4,4,200,10,15,100,25,GPMX,INV,0,1,9,646,107.47666666666476,26,2.229074239730835
19,2,4,4,200,10,15,100,25,GPMX,INV,0,1,10,646,107.47666666666476,26,2.227260112762451
2,2,2,9,200,10,15,100,25,GPMX,INV,0,1,1,232,212.0399999999972,26,3.601219892501831
2,2,2,9,200,10,15,100,25,GPMX,INV,0,1,2,122,212.0399999999972,26,3.74556827545166
2,2,2,9,200,10,15,100,25,GPMX,INV,0,1,3,232,212.0399999999972,26,3.740337371826172
2,2,2,9,200,10,15,100,25,GPMX,INV,0,1,4,122,212.0399999999972,26,3.8028619289398193
2,2,2,9,200,10,15,100,25,GPMX,INV,0,1,5,232,212.0399999999972,26,3.8046836853027344
2,2,2,9,200,10,15,100,25,GPMX,INV,0,1,6,232,212.0399999999972,26,3.6003060340881348
2,2,2,9,200,10,15,100,25,GPMX,INV,0,1,7,122,212.0399999999972,26,3.6098012924194336
2,2,2,9,200,10,15,100,25,GPMX,INV,0,1,8,232,212.0399999999972,26,3.6513137817382812
2,2,2,9,200,10,15,100,25,GPMX,INV,0,1,9,122,212.0399999999972,26,3.599214792251587
2,2,2,9,200,10,15,100,25,GPMX,INV,0,1,10,122,212.0399999999972,26,3.6164934635162354
20,2,4,6,200,10,15,100,25,GPMX,INV,0,1,1,264,198.7590000000003,26,1.9953527450561523
20,2,4,6,200,10,15,100,25,GPMX,INV,0,1,2,264,198.7590000000003,26,2.1065680980682373
20,2,4,6,200,10,15,100,25,GPMX,INV,0,1,3,264,198.7590000000003,25,1.955146312713623
20,2,4,6,200,10,15,100,25,GPMX,INV,0,1,4,264,198.7590000000003,26,1.9016039371490479
20,2,4,6,200,10,15,100,25,GPMX,INV,0,1,5,264,198.7590000000003,26,1.9107749462127686
20,2,4,6,200,10,15,100,25,GPMX,INV,0,1,6,264,198.7590000000003,26,1.9074890613555908
20,2,4,6,200,10,15,100,25,GPMX,INV,0,1,7,264,198.7590000000003,26,1.9083867073059082
20,2,4,6,200,10,15,100,25,GPMX,INV,0,1,8,264,198.7590000000003,26,1.9665329456329346
20,2,4,6,200,10,15,100,25,GPMX,INV,0,1,9,264,198.7590000000003,26,1.9085662364959717
20,2,4,6,200,10,15,100,25,GPMX,INV,0,1,10,264,198.7590000000003,26,1.9278645515441895
21,5,5,18,200,10,15,100,25,GPMX,INV,0,1,1,1712,592.3693333333123,83,26.98137903213501
21,5,5,18,200,10,15,100,25,GPMX,INV,0,1,2,1542,592.3693333333123,76,25.48379611968994
21,5,5,18,200,10,15,100,25,GPMX,INV,0,1,3,1318,592.3693333333123,84,27.371288061141968
21,5,5,18,200,10,15,100,25,GPMX,INV,0,1,4,1116,592.3693333333158,51,16.881120204925537
21,5,5,18,200,10,15,100,25,GPMX,INV,0,1,5,1712,592.3693333333123,80,26.4061439037323
21,5,5,18,200,10,15,100,25,GPMX,INV,0,1,6,1596,592.3693333333158,52,17.313260078430176
21,5,5,18,200,10,15,100,25,GPMX,INV,0,1,7,1456,592.3693333333157,57,18.351062297821045
21,5,5,18,200,10,15,100,25,GPMX,INV,0,1,8,2252,592.3693333333123,72,23.702439546585083
21,5,5,18,200,10,15,100,25,GPMX,INV,0,1,9,1596,592.3693333333158,52,17.24495792388916
21,5,5,18,200,10,15,100,25,GPMX,INV,0,1,10,1712,592.3693333333123,80,26.01770257949829
22,5,5,13,200,10,15,100,25,GPMX,INV,0,1,1,410,262.0859999999931,35,7.749536037445068
22,5,5,13,200,10,15,100,25,GPMX,INV,0,1,2,410,262.0859999999931,41,8.625987529754639
22,5,5,13,200,10,15,100,25,GPMX,INV,0,1,3,410,262.0859999999931,39,8.15800428390503
22,5,5,13,200,10,15,100,25,GPMX,INV,0,1,4,238,262.0859999999931,37,7.980373859405518
22,5,5,13,200,10,15,100,25,GPMX,INV,0,1,5,410,262.0859999999931,37,7.809524059295654
22,5,5,13,200,10,15,100,25,GPMX,INV,0,1,6,488,262.0859999999931,40,8.469280481338501
22,5,5,13,200,10,15,100,25,GPMX,INV,0,1,7,488,262.0859999999931,43,9.017385721206665
22,5,5,13,200,10,15,100,25,GPMX,INV,0,1,8,488,262.0859999999931,46,9.667009830474854
22,5,5,13,200,10,15,100,25,GPMX,INV,0,1,9,410,262.0859999999931,39,8.239876985549927
22,5,5,13,200,10,15,100,25,GPMX,INV,0,1,10,238,262.0859999999931,45,9.360944986343384
23,4,5,10,200,10,15,100,25,GPMX,INV,0,1,1,1000,101.07366666666626,40,5.878969430923462
23,4,5,10,200,10,15,100,25,GPMX,INV,0,1,2,1000,101.07366666666626,33,4.645329475402832
23,4,5,10,200,10,15,100,25,GPMX,INV,0,1,3,1000,101.07366666666626,41,5.6528003215789795
23,4,5,10,200,10,15,100,25,GPMX,INV,0,1,4,1000,101.07366666666626,34,4.796178817749023
23,4,5,10,200,10,15,100,25,GPMX,INV,0,1,5,1000,101.07366666666626,44,6.247426986694336
23,4,5,10,200,10,15,100,25,GPMX,INV,0,1,6,1000,101.07366666666626,37,5.507008075714111
23,4,5,10,200,10,15,100,25,GPMX,INV,0,1,7,1000,101.07366666666626,40,5.625180959701538
23,4,5,10,200,10,15,100,25,GPMX,INV,0,1,8,1000,101.07366666666626,38,5.712605714797974
23,4,5,10,200,10,15,100,25,GPMX,INV,0,1,9,1000,101.07366666666626,28,3.895585775375366
23,4,5,10,200,10,15,100,25,GPMX,INV,0,1,10,1000,101.07366666666626,39,5.557117938995361
24,4,5,12,200,10,15,100,25,GPMX,INV,0,1,1,544,355.85733333333104,35,7.4373204708099365
24,4,5,12,200,10,15,100,25,GPMX,INV,0,1,2,544,355.85733333333104,32,6.824439764022827
24,4,5,12,200,10,15,100,25,GPMX,INV,0,1,3,662,355.85733333333104,38,7.997650623321533
24,4,5,12,200,10,15,100,25,GPMX,INV,0,1,4,394,355.85733333333104,35,7.56929349899292
24,4,5,12,200,10,15,100,25,GPMX,INV,0,1,5,394,355.85733333333104,35,7.607060432434082
24,4,5,12,200,10,15,100,25,GPMX,INV,0,1,6,662,355.85733333333104,36,7.815093994140625
